a 		一個;一隻
bag		袋子;包包
bake		烤;烘
baker		麵包師傅
balance		天秤;平衡
ball		球
balloon		汽球;吹
banana		香蕉
band		錶帶;戒指;管樂隊
bank		銀行
bar		櫃檯;欄杆
base		基礎的;劣等的
baseball	棒球
basic		基礎的
basket		籃子;籃框
basketball	籃球
bat		棒球
bath		沐浴;洗澡
bathroom	浴室;廁所
battle		戰役;鬥爭
bay		海灣
be		be動詞的原形
beach		海灘
bean		豆;蠶豆
bear		粗魯的人;忍受
beard		鬍鬚
beat		衝擊;敲打
beautiful	美的;美麗的
beautifully	美麗地
beauty		美人;美貌
because		因為
become		成為;變為
bed		床
bedroom		臥室
bee		蜜蜂
beef		牛肉
been		是(be的過去分詞)
beer		啤酒
before		在..以前
begin		開始
beginning	開始;起始
behave		舉止;守規矩
behind		在...後面
believe		相信;信仰
bell		鐘;鈴
belong		屬於
below		低於;在..下面
belt		腰帶;輸送帶
bench		板凳
bend		彎曲;屈身
beside		在...旁邊
best		最好;最好的
better		最好的;最好
between		在...之間
beyond		在...的那邊;在遠處
bicycle		腳踏車;自行車
big		大的;巨大的
bike		腳踏車
bill		帳單;紙幣
bird		鳥
birth		出生;誕生
birthday	生日
bit		一點;吃剩的食物
black		黑色的;黑色
blackboard	黑板
blame		責備;譴責
blanket		毯子;覆蓋
blind		眼睛失明;盲目的
block		方塊;街段;阻塞
blood		血;血統
blow		吹
blue		藍色;藍色的
board		木板;舞台;登上
boat		小船;遊艇
body		身體
boil		煮沸
bone		骨頭
book		書
bookstore	書店
boot		長統靴
boring		無聊的;乏味的
born		出生;誕生
borrow		借用
boss		主管;老闆
both		兩者的;兩者都
bottle		瓶;酒瓶
bottom		底部;底價
bow		弓;鞠躬
bowl		大碗;滾球
box		盒子;箱子
boy		男孩;少年
boyfriend	男朋友
brain		腦;頭腦
brake		剎車
branch		分枝;分部
brave		勇敢的;麵包
break		打破;折斷
breakfast	早餐
breath		氣息;呼吸
breathe		呼吸
brick		磚塊;積木
bridge		橋樑
bright		明亮的;鮮豔的
brilliant	光輝的;聰明的
bring		帶來;拿去
broad		廣大的;明顯的
broadcast	廣播;播送
broken		破碎的
brother		兄弟
brown		棕色;褐色
brush		刷子;刷牙
build		建造
building	建築物
burn		燃燒
burst		爆裂
bus		公車
bush		灌木叢
business	商務;生意
businessman	商人;實業家
busy		繁忙的
but		但是;除..之外
butter		牛油
butterfly	蝴蝶;蝶式
button		鈕扣;按鈕
buy		購買
by		在..旁邊;在..之前
bye		再見

cab		計程車;出租汽車
cable		纜繩;電纜;發電報
cafe		咖啡廳
cage		鳥籠;牢房;骨架
cake		蛋糕
calender	月曆;日曆
call		電話;叫;打電話
camera		照相機
camp		露營
campus		(大學)校園
can		能夠;可以;罐頭
candle		蠟燭;燭光
candy		糖果
cap		帽子
capital		資本;首都;大寫字母
captain		首領;船長;機長
car		汽車
card		卡片;撲克牌
care		憂慮;照顧;關心
careful		仔細的;小心地
carefully	小心地;仔細地
carpenter	木匠;做木工
carry		攜帶;運送
case		事件;盒子;案件
cash		現金
cast		選角;投擲
castle		城堡
cat		貓
catch		捉;抓住;趕上
cause		原因;引起
ceiling		天花板
cent		一分錢
center		中心
centimeter	公分;釐米
central		中心的;主要的
century		世紀;一百年
certain		確實的;確定的
certainly	一定;當然可以













 

